Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0167250968827815,2.44149145345318E-10,0.0203639204176536,0,0,0,0.240383168658405,7.83804120751113E-05,-1.33677467927533E-12,8.81205594526933E-07,0.000100074084783745,-7.20459622056662E-10,0.000112287656365948,0,0,0,0,0,0,package://pioneer3/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/base_link.STL,,assem0305-1/link13-1,base <assem0305-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Body,-0.0193898149026809,0.00222591592015722,0.0444172391413023,0,0,0,0.774724923242869,0.000896603730400152,-1.88519887603303E-05,-7.16736744399087E-06,0.000619545768203177,-2.23556455740887E-05,0.00107921959387707,0,0,0,0,0,0,package://pioneer3/meshes/Body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/Body.STL,,0423momtong-1,wristle,wristlea,bodyj,revolute,0,0,0.044,0,0,0,base_link,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
RA_link1,-7.50000634615923E-05,0.000401188760507487,0.00834166838443349,0,0,0,0.0115476492286881,4.12065404335022E-06,-1.56945908739664E-13,-2.3697766161428E-13,1.60398828094646E-06,1.57011245213886E-13,4.07101891575568E-06,0,0,0,0,0,0,package://pioneer3/meshes/RA_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/RA_link1.STL,,RA_link1-1,RAj1,RAj1a,RA_j1,revolute,0.025552,-0.0798,0.065679,1.5708,0,0,Body,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
RA_link2,0.0415895478990663,8.9087516866166E-05,1.4087516855707E-05,0,0,0,0.0976313045710125,1.77003872433829E-05,1.82744192429706E-07,-1.82744192428845E-07,2.40642398269195E-05,8.2844861802451E-13,2.39715332723679E-05,0,0,0,0,0,0,package://pioneer3/meshes/RA_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/RA_link2.STL,,RA_link2-1,RAj2,RAj2a,RA_j2,revolute,0,0,0.021282,1.5708,-1.5708,0,RA_link1,0,0,-1,1000,1000,-3.14,3.14,,,,,,,,
RA_link3,0.0740596286038509,0.00988456500166742,8.47100684984135E-05,0,0,0,0.0970495897686328,2.25127869893031E-05,-3.71122412867642E-08,1.82723660580053E-07,3.48264767703425E-05,-5.6566102245087E-13,2.2513245712724E-05,0,0,0,0,0,0,package://pioneer3/meshes/RA_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/RA_link3.STL,,RA_link3-1,RAj3,RAj3a,RA_j3,revolute,0.083008,0,0,1.5708,0,0,RA_link2,0,0,-1,1000,1000,-3.14,3.14,,,,,,,,
RA_link4,0.035114468974555,-0.0230460225520937,-0.0015332532138342,0,0,0,0.0258491749290588,1.04022877238367E-05,1.9672117898398E-06,-8.44967793224537E-13,2.21552310040836E-05,2.2182555808158E-12,1.66621056690838E-05,0,0,0,0,0,0,package://pioneer3/meshes/RA_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/RA_link4.STL,,RA_link4-1,RAj4,RAj4a,RA_j4,revolute,0.081772,0,0,0,0,0,RA_link3,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
LA_link1,-7.49999366664936E-05,-0.000401188760507723,0.00834166838443265,0,0,0,0.011547649228688,4.12065404335021E-06,-1.56945911592939E-13,2.36977660319132E-13,1.60398828094644E-06,-1.57011424829553E-13,4.07101891575567E-06,0,0,0,0,0,0,package://pioneer3/meshes/LA_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/LA_link1.STL,,LA_link1-1,LAj1,LAj1a,LA_j1,revolute,0.025552,0.0798,0.065679,-1.5708,0,0,Body,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
LA_link2,-8.90881371993224E-05,0.0415895478998911,-1.4088137134563E-05,0,0,0,0.0976313045710133,2.40642398269196E-05,-1.82745975027851E-07,-8.28448794189772E-13,1.7700387243383E-05,1.82745975027846E-07,2.3971533272368E-05,0,0,0,0,0,0,package://pioneer3/meshes/LA_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/LA_link2.STL,,LA_link2-1,LAj2,LAj2a,LA_j2,revolute,0,0,0.021282,1.5708,0,0,LA_link1,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
LA_link3,0.0740124434762964,0.00995100438307307,-2.10717138973901E-05,0,0,0,0.0964594668522865,2.24913417456753E-05,-3.71046689039174E-08,-1.82766501654953E-07,3.48050314951755E-05,-2.66624535931702E-13,2.24708995283987E-05,0,0,0,0,0,0,package://pioneer3/meshes/LA_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/LA_link3.STL,,LA_link3-1,LAj3,LAj3a,LA_j3,revolute,0,0.083008,0,1.5708,0,1.5708,LA_link2,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
LA_link4,0.034330717191581,-0.0225316372474616,0.000152669856721209,0,0,0,0.0264392978454057,1.04237331647152E-05,1.96721170536246E-06,-6.1192989763702E-13,2.21766760819998E-05,1.85273220406346E-12,1.67044518534091E-05,0,0,0,0,0,0,package://pioneer3/meshes/LA_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/LA_link4.STL,,LA_link4-1,LAj4,LAj4a,LA_j4,revolute,0.081772,0,0,0,0,0,LA_link3,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
