Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.016725129754727,2.44149270245408E-10,0.0203639204176537,0,0,0,0.240383168658405,7.83804120751111E-05,-1.33677466207084E-12,8.81205594526925E-07,0.000100074084783745,-7.20459622078255E-10,0.000112287656365948,0,0,0,0,0,0,package://pioneer_description2/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/base_link.STL,,link13-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RL_link1,6.36990460378684E-15,-0.0219308140280007,-0.0108112966258094,0,0,0,0.0361632382406001,5.4111695175274E-05,-1.61372771289231E-11,9.28922062551562E-21,9.6637863248881E-06,-1.97545977189407E-07,5.66457480929972E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/RL_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/RL_link1.STL,,link11-1,RLj1,RL_j1a,RL_j1,revolute,0,-0.0449999999999964,0,0,0,-1.5707963267949,base_link,0,0,-1,100000000,100000000,-3.14,3.14,,,,10,,,,
RL_link2,-0.000155232782900958,0.0175532012676273,-0.0221676821186403,0,0,0,0.19913694150823,7.94219530743593E-05,1.06395420704979E-06,-4.62259013137817E-09,4.77173071514331E-05,-1.04491774718873E-06,8.02433026493246E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/RL_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/RL_link2.STL,,link5-1,RLj2,RL_j2a,RL_j2,revolute,0,0,-0.03561,-1.5708,0,0,RL_link1,0,0,1,100000000,100000000,-3.14,3.14,,,,10,,,,
RL_link3,0.070698,-0.0069053,-0.00061516,0,0,0,0.10976,3.426E-05,3.8177E-06,2.4483E-20,8.4127E-05,2.1477E-20,7.5409E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/RL_link3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pioneer_description2/meshes/RL_link3.STL,,link9-2,RLj3,RL_j3a,RL_j3,revolute,0,0.0360999999999999,0,-1.5707963267949,0,1.5707963267949,RL_link2,0,0,-1,100000000,100000000,-3.14,3.14,,,,10,,,,
RL_link4,0.0305994031020766,-0.0120235597857248,4.11080512770362E-05,0,0,0,0.148800494539427,7.27018871523753E-05,-1.14360945397716E-05,1.01882441646066E-06,0.000125674269168138,-3.00739114858884E-07,9.73247119795934E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/RL_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/RL_link4.STL,,link3-1,RLj4,RL_j4a,RL_j4,revolute,0.13629,0,0,0,0,0,RL_link3,0,0,-1,100000000,100000000,-3.14,3.14,,,,10,,,,
RL_link5,0.0184053379143841,0.0221848547465433,0.000158385656519947,0,0,0,0.19913694150823,4.77173071514331E-05,-1.0416323692196E-06,1.06064116620911E-06,8.02433026493245E-05,4.62259013137381E-09,7.94219530743592E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/RL_link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/RL_link5.STL,,link2-1,RLj5,RL_j5a,RL_j5,revolute,0.11176,0,0,0,0,0,RL_link4,0,0,-1,100000000,100000000,-3.14,3.14,,,,10,,,,
RL_link6,0.0312148327243415,-0.0103874713058916,-0.0155727442331843,0,0,0,0.110140418970307,0.00024491528408782,2.39139813920214E-10,-1.55440879033261E-10,0.000183609452644589,-2.24895696449508E-08,6.94921441530082E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/RL_link6.STL,1,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://pioneer_description2/meshes/RL_link6.STL,,link1-1,RLj6,RL_j6a,RL_j6,revolute,0.0361000000000001,0,0,1.5707963267949,0,0,RL_link5,0,0,1,100000000,100000000,-3.14,3.14,,,,10,,,,
LL_link1,-7.03950786551388E-15,-0.0219308140280043,-0.0108112966258105,0,0,0,0.0361632382405995,5.41116951752731E-05,-1.61372771555609E-11,2.32222984399397E-20,9.66378632488812E-06,-1.97545977189409E-07,5.66457480929965E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/LL_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/LL_link1.STL,,link12-1,LLj1,LL_j1a,LL_j1,revolute,0,0.045,0,0,0,-1.5708,base_link,0,0,-1,100000000,100000000,-3.14,3.14,,,,10,,,,
LL_link2,0.00014528871576051,0.0175227430535831,-0.0221708349922593,0,0,0,0.19913694150823,7.94219530743593E-05,-1.06064116620912E-06,-4.62259013139753E-09,4.77173071514331E-05,-1.04163236921976E-06,8.02433026493245E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/LL_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/LL_link2.STL,,link10-1,LLj2,LL_j2a,LL_j2,revolute,9.99999999932027E-05,0,-0.0356399719885632,-1.5707963267949,0,0,LL_link1,0,0,1,100000000,100000000,-3.14,3.14,,,,10,,,,
LL_link3,0.070697009218409,0.00691382969057585,-0.000615163410180041,0,0,0,0.109764268638753,3.42607147584035E-05,-3.82369026023048E-06,5.55183242326631E-21,8.41259834737504E-05,-5.61613440988418E-21,7.54085071592889E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/LL_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/LL_link3.STL,,link4-3,LLj3,LL_j3a,LL_j3,revolute,-9.99999999999404E-05,0.0360695417859536,0,1.5707963267949,0,1.5707963267949,LL_link2,0,0,-1,100000000,100000000,-3.14,3.14,,,,10,,,,
LL_link4,0.0305967429892911,-0.0120477876933978,-4.11206202293631E-05,0,0,0,0.148800494542187,7.26973250929168E-05,-1.14324383055631E-05,-1.01751051414211E-06,0.00012567883123173,3.05267416019073E-07,9.73247119802176E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/LL_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/LL_link4.STL,,link8-1,LLj4,LL_j4a,LL_j4,revolute,0.136292817220859,0,0,3.14159265358979,0,0,LL_link3,0,0,1,100000000,100000000,-3.14,3.14,,,,10,,,,
LL_link5,0.0184863647929338,0.0221676821186464,-0.000242135842143949,0,0,0,0.19913694150823,4.77173071514331E-05,-1.04491774718839E-06,-1.06395420704986E-06,8.02433026493245E-05,4.62259013138441E-09,7.94219530743593E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/LL_link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/LL_link5.STL,,link7-1,LLj5,LL_j5a,LL_j5,revolute,0.111764308690015,0,0,0,0,0,LL_link4,0,0,1,100000000,100000000,-3.14,3.14,,,,10,,,,
LL_link6,0.0312148327243413,0.010387471305884,-0.0155727442331851,0,0,0,0.110140418970307,0.00024491528408782,-2.39139813956972E-10,-1.55440879057972E-10,0.000183609452644588,2.248351456252E-08,6.94921441530082E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/LL_link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/LL_link6.STL,,link6-1,LLj6,LL_j6a,LL_j6,revolute,0.0361,0,0,1.57079632679491,0,0,LL_link5,0,0,1,100000000,100000000,-3.14,3.14,,,,10,,,,
body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://pioneer_description2/meshes/body.STL,1,1,1,1,0,0,0,0,0,0,package://pioneer_description2/meshes/body.STL,,0423momtong-1,wristle,wristlea,bodyj,revolute,0,0,0.0415000000000003,0,0,0,base_link,0,0,-1,100000000,100000000,-3.14,3.14,,,,10,,,,
RA_link1,0.000405701736505983,6.33970653751703E-11,0.013141129866994,0,0,0,0.0115476492286881,1.60398828094645E-06,1.56945895551654E-13,1.57011418562808E-13,4.12065404335023E-06,2.36977660534848E-13,4.07101891575569E-06,0,0,0,0,0,0,package://pioneer_description2/meshes/RA_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/RA_link1.STL,,RA_link1-1,RAj1,RA_j1a,RA_j1,revolute,0.0251506736713674,-0.0750005385174352,0.0684999999999989,1.57079632679489,0,0,body,0,0,1,100000000,100000000,-3.14,3.14,,,,10,,,,
RA_link2,-1.40875168122001E-05,0.0415897961638286,1.27492086176677E-05,0,0,0,0.0976313045710116,2.40642398269193E-05,-1.82744192429215E-07,-8.28448597172707E-13,1.77003872433827E-05,-1.82744192428836E-07,2.39715332723677E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/RA_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/RA_link2.STL,,RA_link2-1,RAj2,RA_j2a,RA_j2,revolute,0,0,0.0260813485486877,1.5707963267949,0,-1.57079632679489,RA_link1,0,0,-1,100000000,100000000,-3.14,3.14,,,,10,,,,
RA_link3,0.0740596286361194,-0.00988700232869187,0.000840289931478111,0,0,0,0.0970495897686319,2.25127869893029E-05,3.71122412880391E-08,-1.82723660580038E-07,3.48264767703423E-05,-5.65661021571721E-13,2.25132457127238E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/RA_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/RA_link3.STL,,RA_link3-1,RAj3,RA_j3a,RA_j3,revolute,0,0.0830084538545784,0,1.57079632679497,0,1.57079632679497,RA_link2,0,0,1,100000000,100000000,-3.14,3.14,,,,10,,,,
RA_link4,0.0351299339828569,0.0230460227568418,0.00245825321384291,0,0,0,0.0258491749290584,1.04022877238366E-05,-1.96721178983939E-06,8.44967909750565E-13,2.21552310040837E-05,2.21825558671923E-12,1.66621056690838E-05,0,0,0,0,0,0,package://pioneer_description2/meshes/RA_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer_description2/meshes/RA_link4.STL,,RA_link4-1,RAj4,RA_j4a,RA_j4,revolute,0.0817569392152857,0,0,0,0,0,RA_link3,0,0,1,100000000,100000000,-3.14,3.14,,,,10,,,,
