Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0168832826289113,1.11478384567931E-06,-0.0261416150645145,0,0,0,0.281603655205748,9.51150075877957E-05,-1.64267680535308E-09,1.0622976689257E-06,0.000134448579197141,-8.02833303120214E-09,0.000133906180321169,0,0,0,0,0,0,package://testbot10/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testbot10/meshes/base_link.STL,,link13-1,좌표계6,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RL_link1,0.00677455665314142,-0.0171132386036875,-0.0056395200849706,0,0,0,0.036163238240597,5.42465986079098E-05,-1.61368380737824E-11,2.39357304715321E-18,9.66378632488695E-06,-2.15975445072556E-07,5.67806515256347E-05,0,0,0,0,0,0,package://testbot10/meshes/RL_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testbot10/meshes/RL_link1.STL,,link12-1,좌표계13,기준축1,RL_j1,revolute,0,0.051775,-0.054172,0,0,-1.5708,base_link,0,0,1,0,0,-3.13,3.13,,,,1000,,,,
RL_link2,0.000145288714112013,0.0175227430541512,0.0507591650070363,0,0,0,0.199136941521453,7.9421953081219E-05,-1.06064116490362E-06,-4.62259007366841E-09,4.77173071542946E-05,-1.04163237345943E-06,8.02433026576024E-05,0,0,0,0,0,0,package://testbot10/meshes/RL_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testbot10/meshes/RL_link2.STL,,link10-1,좌표계14,기준축2,RL_j2,revolute,0.0068746,-0.0682,-0.030468,-1.5708,0,0,RL_link1,0,0,-1,0,0,-3.13,3.13,,,,1000,,,,
RL_link3,0.0702582832318915,-0.00864650919675214,0.0235786082623353,0,0,0,0.0264467686387559,1.76008022350531E-05,1.98588625172222E-06,9.44111245553121E-19,4.19724199033561E-05,2.03433491128841E-19,3.31231401280413E-05,0,0,0,0,0,0,package://testbot10/meshes/RL_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testbot10/meshes/RL_link3.STL,,link4-3,좌표계15,기준축3,RL_j3,revolute,0.020925,0.036241,0.07293,-1.5708,0,1.5708,RL_link2,0,0,1,0,0,-3.13,3.13,,,,1000,,,,
RL_link4,-0.0304249664645235,0.0121642606893708,0.0209170204137781,0,0,0,0.148800494600385,7.26973251374853E-05,-1.14266049925035E-05,1.08105188921988E-06,0.000125674560771786,-4.62876984564198E-07,9.73289824699956E-05,0,0,0,0,0,0,package://testbot10/meshes/RL_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testbot10/meshes/RL_link4.STL,,link8-1,좌표계16,기준축4,RL_j4,revolute,0.136292817220622,0,0,0.00555939283246736,0,3.14159265358979,RL_link3,0,0.00555936419529654,0.999984546615469,0,0,-3.13,3.13,,,,1000,,,,
RL_link5,0.018486364793432,0.0220241422062936,0.0258807043313478,0,0,0,0.199136941521453,4.77173071542947E-05,-1.0389866930085E-06,-1.0697468440587E-06,8.02432258745892E-05,9.18841518505544E-09,7.9422029864232E-05,0,0,0,0,0,0,package://testbot10/meshes/RL_link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testbot10/meshes/RL_link5.STL,,link7-1,좌표계17,기준축5,RL_j5,revolute,-0.11159,-2.7656E-05,-0.0049745,0,0,3.1416,RL_link4,0,-0.0055594,0.99998,0,0,-3.13,3.13,,,,1000,,,,
RL_link6,0.0313843745102667,0.0101684393649126,0.0574146730755681,0,0,0,0.110140418970304,0.000244915284087814,-2.38271965882484E-10,-1.56767941324337E-10,0.000183605675690306,6.5689199975025E-07,6.94959211072831E-05,0,0,0,0,0,0,package://testbot10/meshes/RL_link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testbot10/meshes/RL_link6.STL,,link6-1,좌표계18,기준축6,RL_j6,revolute,0.03593,0.072785,0.026305,1.5708,0,0,RL_link5,0,0.0055594,-0.99998,0,0,-3.13,3.13,,,,1000,,,,
LL_link1,1.66977542903624E-13,-0.0171134562696078,-0.0078112966258107,0,0,0,0.0361632382405999,5.42465986079154E-05,-1.61368372102257E-11,2.26866815427224E-18,9.66378632488791E-06,-2.15975445070927E-07,5.67806515256394E-05,0,0,0,0,0,0,package://testbot10/meshes/LL_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testbot10/meshes/LL_link1.STL,,link11-1,좌표계7,기준축7,LL_j1,revolute,0,-0.045,-0.052,0,0,-1.5708,base_link,0,0,1,0,0,-3.13,3.13,,,,1000,,,,
LL_link2,-0.000255232783638704,0.0175227430541507,0.0507623178829572,0,0,0,0.199136941521453,7.94219530812189E-05,1.06395420931126E-06,-4.62259007354437E-09,4.77173071542947E-05,-1.04491774756739E-06,8.02433026576024E-05,0,0,0,0,0,0,package://testbot10/meshes/LL_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testbot10/meshes/LL_link2.STL,,link5-1,좌표계8,기준축8,LL_j2,revolute,0.0001,-0.0682,-0.03264,-1.5708,0,0,LL_link1,0,0,1,0,0,-3.13,3.13,,,,1000,,,,
LL_link3,0.0704311049281126,-0.00863777375409747,-0.0285531649153121,0,0,0,0.0264467686387567,1.76003222508723E-05,1.98293872407723E-06,-1.07814244683159E-18,4.19728998875406E-05,3.18616737065625E-19,3.31231401280443E-05,0,0,0,0,0,0,package://testbot10/meshes/LL_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testbot10/meshes/LL_link3.STL,,link9-2,좌표계9,기준축9,LL_j3,revolute,-0.0261,0.03607,0.07293,-1.5708,0,1.5708,LL_link2,0,0,-1,0,0,-3.13,3.13,,,,1000,,,,
